log_index,timestamp,days_ago,extra_var,description,file_time
71,2026-06-21 11:36:36,51.0,7.0,[Setup] Complete,2026-06-21 11:36:33
174,2026-06-21 19:23:12,51.0,50.0,[Logs] Incomplete Event Log,2026-06-21 19:25:59
32,2026-07-02 16:05:17,40.0,50.0,[Logs] Incomplete Event Log,2026-07-02 16:08:06
345,2026-07-14 15:00:47,28.0,50.0,[Logs] Incomplete Event Log,2026-07-14 23:44:45
610,2026-07-15 18:59:52,27.0,20.0,[Battery] Low Power Mode Activated,2026-07-16 03:30:45
772,2026-07-16 07:24:56,26.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-16 16:06:45
928,2026-07-16 19:34:56,26.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-17 04:04:44
1084,2026-07-17 07:53:56,25.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-17 16:39:47
1242,2026-07-17 20:12:56,25.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-18 04:38:45
1398,2026-07-18 08:21:56,24.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-18 17:12:45
1558,2026-07-18 20:51:56,24.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-19 05:12:47
1712,2026-07-19 08:48:57,23.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-19 17:48:46
1874,2026-07-19 21:34:57,23.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-20 05:48:46
2024,2026-07-20 09:13:57,22.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-20 18:27:46
2194,2026-07-20 22:31:57,22.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-21 06:33:46
2336,2026-07-21 09:37:57,21.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-21 19:13:48
2518,2026-07-22 00:04:57,20.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-22 07:50:46
2648,2026-07-22 09:56:57,20.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-22 20:18:46
2850,2026-07-23 02:07:57,19.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-23 13:08:46
2902,2026-07-23 06:19:57,19.0,21.0,[Battery] Low Power Mode Deactivated,2026-07-23 13:08:46
23,2026-07-25 13:32:28,17.0,50.0,[Logs] Incomplete Event Log,2026-07-25 13:35:48
3182,2026-08-04 11:17:18,7.0,20.0,[Battery] Low Power Mode Activated,2026-08-04 18:02:52
3326,2026-08-04 22:13:03,7.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-08-05 06:36:52
0,2026-08-05 00:43:00,6.0,51.0,[Logs] Missed HTS Scan,2026-08-11 15:45:13
3470,2026-08-05 09:21:04,6.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-08-05 18:51:52
3472,2026-08-05 09:28:04,6.0,21.0,[Battery] Low Power Mode Deactivated,2026-08-05 18:51:52
0,2026-08-05 11:51:00,6.0,51.0,[Logs] Missed HTS Scan,2026-08-11 15:45:13
55,2026-08-05 23:48:33,6.0,50.0,[Logs] Incomplete Event Log,2026-08-05 23:51:52
0,2026-08-11 14:12:00,0.0,52.0,[Logs] Missed LTS Scan,2026-08-11 15:45:13
