log_index,timestamp,days_ago,extra_var,description,file_time
71,2026-06-21 11:36:36,65.0,7.0,[Setup] Complete,2026-06-21 11:36:33
174,2026-06-21 19:23:12,65.0,50.0,[Logs] Incomplete Event Log,2026-06-21 19:25:59
32,2026-07-02 16:05:17,54.0,50.0,[Logs] Incomplete Event Log,2026-07-02 16:08:06
345,2026-07-14 15:00:47,42.0,50.0,[Logs] Incomplete Event Log,2026-07-14 23:44:45
610,2026-07-15 18:59:52,41.0,20.0,[Battery] Low Power Mode Activated,2026-07-16 03:30:45
772,2026-07-16 07:24:56,40.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-16 16:06:45
928,2026-07-16 19:34:56,40.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-17 04:04:44
1084,2026-07-17 07:53:56,39.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-17 16:39:47
1242,2026-07-17 20:12:56,39.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-18 04:38:45
1398,2026-07-18 08:21:56,38.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-18 17:12:45
1558,2026-07-18 20:51:56,38.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-19 05:12:47
1712,2026-07-19 08:48:57,37.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-19 17:48:46
1874,2026-07-19 21:34:57,37.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-20 05:48:46
2024,2026-07-20 09:13:57,36.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-20 18:27:46
2194,2026-07-20 22:31:57,36.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-21 06:33:46
2336,2026-07-21 09:37:57,35.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-21 19:13:48
2518,2026-07-22 00:04:57,34.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-22 07:50:46
2648,2026-07-22 09:56:57,34.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-22 20:18:46
2850,2026-07-23 02:07:57,33.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-07-23 13:08:46
2902,2026-07-23 06:19:57,33.0,21.0,[Battery] Low Power Mode Deactivated,2026-07-23 13:08:46
23,2026-07-25 13:32:28,31.0,50.0,[Logs] Incomplete Event Log,2026-07-25 13:35:48
3182,2026-08-04 11:17:18,21.0,20.0,[Battery] Low Power Mode Activated,2026-08-04 18:02:52
3326,2026-08-04 22:13:03,21.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-08-05 06:36:52
3470,2026-08-05 09:21:04,20.0,22.0,[Battery] Skipped Event Due To Low Power Mode,2026-08-05 18:51:52
3472,2026-08-05 09:28:04,20.0,21.0,[Battery] Low Power Mode Deactivated,2026-08-05 18:51:52
55,2026-08-05 23:48:33,20.0,50.0,[Logs] Incomplete Event Log,2026-08-05 23:51:52
2176,2026-08-12 02:01:35,13.0,50.0,[Logs] Incomplete Event Log,2026-08-11 21:29:05
2237,2026-08-12 02:01:42,13.0,50.0,[Logs] Incomplete Event Log,2026-08-11 21:36:17
2296,2026-08-12 02:01:52,13.0,50.0,[Logs] Incomplete Event Log,2026-08-11 21:43:30
2463,2026-08-12 02:01:54,13.0,50.0,[Logs] Incomplete Event Log,2026-08-13 14:38:55
2052,2026-08-12 02:02:07,13.0,50.0,[Logs] Incomplete Event Log,2026-08-11 21:13:45
2353,2026-08-12 02:02:07,13.0,50.0,[Logs] Incomplete Event Log,2026-08-11 21:50:47
2115,2026-08-12 02:02:22,13.0,50.0,[Logs] Incomplete Event Log,2026-08-11 21:20:58
2408,2026-08-12 02:02:24,13.0,50.0,[Logs] Incomplete Event Log,2026-08-11 21:56:17
15,2026-08-17 04:53:37,8.0,50.0,[Logs] Incomplete Event Log,2026-08-17 04:57:13
950,2026-08-19 18:25:30,6.0,50.0,[Logs] Incomplete Event Log,2026-08-20 03:49:59
0,2026-08-20 01:27:00,5.0,51.0,[Logs] Missed HTS Scan,2026-08-25 16:00:22
0,2026-08-21 11:21:00,4.0,51.0,[Logs] Missed HTS Scan,2026-08-25 16:00:22
0,2026-08-22 16:12:00,2.0,51.0,[Logs] Missed HTS Scan,2026-08-25 16:00:22
0,2026-08-25 13:45:00,0.0,52.0,[Logs] Missed LTS Scan,2026-08-25 16:00:22
