log_index,timestamp,days_ago,extra_var,description,file_time
1,2026-08-19 18:20:13,12.0,14.0,[Battery] Error Battery Gauge,2026-08-19 17:45:06
18,2026-08-19 18:20:13,12.0,50.0,[Logs] Incomplete Event Log,2026-08-19 17:56:07
5,2026-08-19 18:20:13,12.0,7.0,[Setup] Complete,2026-08-19 17:45:06
10,2026-08-19 18:20:13,12.0,7.0,[Setup] Complete,2026-08-19 17:45:06
12,2026-08-19 18:20:13,12.0,50.0,[Logs] Incomplete Event Log,2026-08-19 17:45:06
36,2026-08-19 18:20:13,12.0,7.0,[Setup] Complete,2026-08-19 21:43:39
2,2026-08-19 18:20:13,12.0,7.0,[Setup] Complete,2026-08-19 17:45:06
30,2026-08-19 18:20:13,12.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:43:39
33,2026-08-19 18:20:13,12.0,7.0,[Setup] Complete,2026-08-19 21:43:39
38,2026-08-19 18:20:13,12.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:43:39
41,2026-08-19 18:20:13,12.0,7.0,[Setup] Complete,2026-08-19 21:43:39
24,2026-08-19 18:20:13,12.0,50.0,[Logs] Incomplete Event Log,2026-08-19 18:07:06
46,2026-08-19 18:22:01,12.0,7.0,[Setup] Complete,2026-08-19 21:43:39
89,2026-08-19 21:34:31,12.0,50.0,[Logs] Incomplete Event Log,2026-08-19 21:43:39
651,2026-08-21 16:21:09,10.0,50.0,[Logs] Incomplete Event Log,2026-08-21 16:25:39
724,2026-08-21 16:21:09,10.0,50.0,[Logs] Incomplete Event Log,2026-08-21 22:01:37
0,2026-08-24 13:28:00,6.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-24 18:37:00,6.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-25 00:34:00,6.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-25 07:13:00,6.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-25 13:45:00,5.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-25 19:18:00,5.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
2026,2026-08-25 20:28:03,6.0,50.0,[Logs] Incomplete Event Log,2026-08-26 01:26:32
0,2026-08-26 07:43:00,5.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-26 19:54:00,4.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-27 01:47:00,4.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-27 08:13:00,4.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-27 14:31:00,3.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-27 20:28:00,3.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
2672,2026-08-27 21:45:01,4.0,50.0,[Logs] Incomplete Event Log,2026-08-28 02:44:28
0,2026-08-28 08:42:00,3.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-28 14:56:00,2.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-28 21:02:00,2.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-29 02:55:00,2.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-29 09:11:00,2.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-29 15:23:00,1.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-29 21:36:00,1.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
3314,2026-08-29 22:53:58,2.0,50.0,[Logs] Incomplete Event Log,2026-08-30 03:54:26
0,2026-08-30 09:39:00,1.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-30 15:52:00,0.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-30 22:13:00,0.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
0,2026-08-31 04:08:00,0.0,52.0,[Logs] Missed LTS Scan,2026-08-31 10:30:21
0,2026-08-31 10:06:00,0.0,51.0,[Logs] Missed HTS Scan,2026-08-31 10:30:21
